,id,ident,name,latitude_deg,longitude_deg,country_name,region_name,municipality,iata_code,full_text,score
1066,4123,LFKB,Bastia-Poretta Airport,42.55270004272461,9.48373031616211,France,Corsica,Bastia/Poretta,BIA,"Bastia-Poretta Airport, Bastia/Poretta, France, BIA",750
1067,3423,KBPT,Jack Brooks Regional Airport,29.9508,-94.020699,United States,Texas,Beaumont/Port Arthur,BPT,"Jack Brooks Regional Airport, Beaumont/Port Arthur, United States, BPT",750
1068,3424,KBQK,Brunswick Golden Isles Airport,31.258801,-81.466499,United States,Georgia,Brunswick,BQK,"Brunswick Golden Isles Airport, Brunswick, United States, BQK",750
1069,3447,KCGI,Cape Girardeau Regional Airport,37.2253,-89.570801,United States,Missouri,Cape Girardeau,CGI,"Cape Girardeau Regional Airport, Cape Girardeau, United States, CGI",750
1070,3489,KDHN,Dothan Regional Airport,31.321300506591797,-85.44960021972656,United States,Alabama,Dothan,DHN,"Dothan Regional Airport, Dothan, United States, DHN",750
1071,1836,CYOJ,High Level Airport,58.62139892578125,-117.16500091552734,Canada,Alberta,High Level,YOJ,"High Level Airport, High Level, Canada, YOJ",750
1072,115,BGSF,Kangerlussuaq Airport,67.010446,-50.715294,Greenland,Qeqqata Municipality,Kangerlussuaq,SFJ,"Kangerlussuaq Airport, Kangerlussuaq, Greenland, SFJ",750
1073,2760,EYKA,Kaunas International Airport,54.96390151977539,24.084800720214844,Lithuania,Kaunas County,Kaunas,KUN,"Kaunas International Airport, Kaunas, Lithuania, KUN",750
1074,5786,SAME,El Plumerillo Airport,-32.8316993713,-68.7929000854,Argentina,Mendoza Province,Mendoza,MDZ,"El Plumerillo Airport, Mendoza, Argentina, MDZ",750
1075,3761,KOWB,Owensboro Daviess County Airport,37.74010086,-87.16680145,United States,Kentucky,Owensboro,OWB,"Owensboro Daviess County Airport, Owensboro, United States, OWB",750
1076,3781,KPLN,Pellston Regional Airport of Emmet County Airport,45.57089996,-84.79669952,United States,Michigan,Pellston,PLN,"Pellston Regional Airport of Emmet County Airport, Pellston, United States, PLN",750
1077,2270,EDSB,Karlsruhe Baden-Baden Airport,48.7794,8.0805,Germany,Baden-Württemberg,Rheinmünster,FKB,"Karlsruhe Baden-Baden Airport, Rheinmünster, Germany, FKB",750
1078,3903,KSTC,Saint Cloud Regional Airport,45.5466,-94.059898,United States,Minnesota,Saint Cloud,STC,"Saint Cloud Regional Airport, Saint Cloud, United States, STC",750
1079,4512,LTAF,Adana Şakirpaşa Airport,36.982201,35.280399,Turkey,Adana Province,Seyhan,ADA,"Adana Şakirpaşa Airport, Seyhan, Turkey, ADA",750
